molid,deltaz,inert,active,delBE_dft,delBE_alc
1.4.8_Tl-1.4.8_Re,3,1:4:8,1:4:8,0.08910375,0.129
1.8_Ir-1.4_Au,1,1:8,1:4,-0.03147577,-0.0413
1_Os-4_Hg,2,1,4,-0.04269429,-0.0366
8_Au-1_Ir,1,8,1,0.03973849,0.023
1.4_Au-1.4_Ir,1,1:4,1:4,0.01050041,0.00889999999997
0.1.8_Ir-1.4.8_Au,1,0:1:8,1:4:8,-0.05527213,-0.0769
1_Hg-8_Os,2,1,8,0.01474745,0.0326
0.1.4_Re-0.4.8_Tl,3,0:1:4,0:4:8,-2.48855849,-1.3935
1.4_Os-1.8_Hg,2,1:4,1:8,-0.02403372,-0.0137999999999
4.8_Ir-0.1_Au,1,4:8,0:1,-0.70472645,-0.4336
1_Ir-1_Au,1,1,1,-0.00641826,-0.00519999999999
0.4_Tl-0.4_Re,3,0:4,0:4,-0.24002253,1.3446
1.8_Os-0.4_Hg,2,1:8,0:4,-1.68466712,-0.9226
0.1.4_Tl-0.1.4_Re,3,0:1:4,0:1:4,-0.20227023,1.3602
1.4_Au-0.4_Ir,1,1:4,0:4,0.13131672,0.4289
1.8_Re-0.4_Tl,3,1:8,0:4,-2.4540218,-1.3839
1_Au-4_Ir,1,1,4,0.01539291,0.0183
1.8_Ir-0.4_Au,1,1:8,0:4,-0.72625039,-0.4613
8_Os-1_Hg,2,8,1,0.00781188000002,-0.046
1.8_Au-1.8_Ir,1,1:8,1:8,0.05415235,0.0393
1.8_Os-0.8_Hg,2,1:8,0:8,-1.67482015,-0.9186
0.4_Au-0.8_Ir,1,0:4,0:8,0.14457172,0.4462
0.4_Re-1.8_Tl,3,0:4,1:8,-0.08376699,-0.0785999999999
0_Ir-1_Au,1,0,1,-0.01809197,-0.0245
0_Re-1_Tl,3,0,1,-0.04556885,-0.0735
4.8_Tl-0.4_Re,3,4:8,0:4,-0.22704489,1.3401
1.4.8_Hg-0.1.4_Os,2,1:4:8,0:1:4,0.03511243,0.9038
0.1.4.8_Ir-0.1.4.8_Au,1,0:1:4:8,0:1:4:8,-0.72788891,-0.4875
0_Au-8_Ir,1,0,8,0.03532627,0.0356
4_Tl-0_Re,3,4,0,-0.28263849,1.2318
