molid,deltaz,inert,active,delBE_dft,delBE_alc
0.7_Hg-0.2_Os,2,0:7,0:2,0.15887281,0.948
0_Re-3_Tl,3,0,3,-0.23662217,-0.2769
3.4.6_Re-0.2.4_Tl,3,3:4:6,0:2:4,-2.08164345,-1.4241
4_Ir-4_Au,1,4,4,-0.01094741,-0.0102
2.6_Au-4.6_Ir,1,2:6,4:6,0.05998433,0.0764
4_Ir-3_Au,1,4,3,-0.06263327,-0.0647
6_Tl-3_Re,3,6,3,0.11361736,0.2661
0.3.4_Hg-3.4.6_Os,2,0:3:4,3:4:6,0.10334479,0.292
0.3_Ir-0.6_Au,1,0:3,0:6,-0.64994981,-0.4699
3.4.7_Ir-0.2.6_Au,1,3:4:7,0:2:6,-0.67194249,-0.4899
7_Au-0_Ir,1,7,0,0.17434907,0.4192
0_Ir-4_Au,1,0,4,-0.03326216,-0.0378
7_Tl-4_Re,3,7,4,0.02401092,0.0917999999999
6_Hg-3_Os,2,6,3,0.10926032,0.1774
4_Au-6_Ir,1,4,6,0.01659214,0.029
2.4.6_Tl-0.2.3_Re,3,2:4:6,0:2:3,0.12964386,1.5837
0_Os-6_Hg,2,0,6,-0.09550638,-0.1132
4_Tl-6_Re,3,4,6,-0.00634055,0.0869999999999
2_Ir-4_Au,1,2,4,-0.0287409,-0.0234
0.2.6.7_Os-2.3.4.6_Hg,2,0:2:6:7,2:3:4:6,-0.37057889,-0.4326
0.3.4_Au-3.4.6_Ir,1,0:3:4,3:4:6,0.09996251,0.146
2.3_Os-4.6_Hg,2,2:3,4:6,-0.14715535,-0.1338
0.4_Hg-3.4_Os,2,0:4,3:4,0.09563537,0.205
0.3.6.7_Au-0.2.3.6_Ir,1,0:3:6:7,0:2:3:6,0.32821542,0.6062
2_Tl-0_Re,3,2,0,0.02805732,1.236
2.7_Au-0.2_Ir,1,2:7,0:2,0.19147424,0.4596
0_Hg-0_Os,2,0,0,0.15927754,0.8528
4.7_Tl-2.6_Re,3,4:7,2:6,0.10265233,0.2298
0.2_Ir-2.6_Au,1,0:2,2:6,-0.10948621,-0.097
6_Re-0_Tl,3,6,0,-2.05502573,-1.2684
2.3.4.6_Os-0.2.3.6_Hg,2,2:3:4:6,0:2:3:6,-1.57282959,-1.1428
2.3.7_Au-2.3.6_Ir,1,2:3:7,2:3:6,0.12635634,0.169
4.7_Ir-0.3_Au,1,4:7,0:3,-0.69479999,-0.4839
0.6_Re-2.3_Tl,3,0:6,2:3,-0.27252336,-0.4305
3.4.6_Os-0.2.4_Hg,2,3:4:6,0:2:4,-1.46607688,-0.9494
0.3_Os-0.6_Hg,2,0:3,0:6,-1.48878564,-0.9398
4_Hg-2_Os,2,4,2,0.00782710999999,0.0544
0.3.6_Hg-0.2.6_Os,2,0:3:6,0:2:6,0.28664691,1.0422
3.7_Tl-3.4_Re,3,3:7,3:4,0.0643484,0.3294
2_Hg-6_Os,2,2,6,0.02541864,0.0844
0.4_Au-3.4_Ir,1,0:4,3:4,0.07254611,0.1025
2.3.7_Tl-3.4.6_Re,3,2:3:7,3:4:6,0.09628747,0.456
3.4.7_Au-0.2.4_Ir,1,3:4:7,0:2:4,0.20783363,0.4711
3.7_Os-0.2_Hg,2,3:7,0:2,-1.48680289,-0.9218
6_Ir-0_Au,1,6,0,-0.618092,-0.4228
0_Re-4_Tl,3,0,4,-0.09414303,-0.1134
0.7_Ir-2.6_Au,1,0:7,2:6,-0.10266087,-0.1042
2.3_Ir-4.6_Au,1,2:3,4:6,-0.07142142,-0.0669
0_Ir-6_Au,1,0,6,-0.05298551,-0.0566
6_Os-2_Hg,2,6,2,-0.05225707,-0.1024
3_Os-4_Hg,2,3,4,-0.05902636,-0.0494
3.4.7_Re-0.2.6_Tl,3,3:4:7,0:2:6,-2.19021642,-1.4697
