molid,deltaz,inert,active,delBE_dft,delBE_alc
0.7_Tl-0.2_Re,3,0:7,0:2,0.75472393,1.3413
3.6_Hg-0.4_Os,2,3:6,0:4,0.4830781,0.8694
0.6_Hg-4.7_Os,2,0:6,4:7,-0.01888307,0.1118
0.3.6.7_Tl-0.3.4.6_Re,3,0:3:6:7,0:3:4:6,0.83533105,1.5678
6.7_Os-3.6_Hg,2,6:7,3:6,-0.09402619,-0.2344
0.6_Hg-3.4_Os,2,0:6,3:4,0.08993485,0.2094
0.3.6.7_Hg-0.3.4.6_Os,2,0:3:6:7,0:3:4:6,0.63838273,1.0452
0_Re-7_Tl,3,0,7,-0.25717765,-0.0458999999999
3.6.7_Re-2.3.4_Tl,3,3:6:7,2:3:4,-0.17042505,-0.3453
0.6.7_Hg-0.4.6_Os,2,0:6:7,0:4:6,0.63029502,0.9596
3.6.7_Os-2.3.4_Hg,2,3:6:7,2:3:4,-0.09670609,-0.2302
0.3.7_Re-2.3.7_Tl,3,0:3:7,2:3:7,-0.37587148,-0.2694
6_Hg-3_Os,2,6,3,0.11095895,0.1868
7_Au-3_Ir,1,7,3,0.06564625,0.0914
6.7_Re-0.2_Tl,3,6:7,0:2,-0.60879383,-1.4292
6_Os-3_Hg,2,6,3,-0.1329749,-0.1868
0.6_Hg-2.7_Os,2,0:6,2:7,0.01069574,0.098
7_Au-6_Ir,1,7,6,0.02298719,0.0238
0.6_Re-0.7_Tl,3,0:6,0:7,-0.8503453,-1.38
0.6_Re-3.6_Tl,3,0:6,3:6,-0.21298768,-0.2697
3.6.7_Re-0.2.4_Tl,3,3:6:7,0:2:4,-0.6917613,-1.3992
0.6_Tl-0.3_Re,3,0:6,0:3,0.75390985,1.5264
3_Tl-4_Re,3,3,4,-0.06318574,-0.03
0.3_Os-0.4_Hg,2,0:3,0:4,-0.55309431,-0.8108
0.3.6.7_Hg-0.2.3.6_Os,2,0:3:6:7,0:2:3:6,0.69647986,1.0314
0.6_Au-0.3_Ir,1,0:6,0:3,0.35081925,0.5088
7_Hg-4_Os,2,7,4,0.04924868,0.0772
3_Au-4_Ir,1,3,4,-0.02127907,-0.01
0.3.7_Au-4.6.7_Ir,1,0:3:7,4:6:7,-0.01557709,0.0291
3.6_Ir-3.7_Au,1,3:6,3:7,-0.09072585,-0.0874
0_Ir-3_Au,1,0,3,-0.04898283,-0.0641
