molid,deltaz,inert,active,delBE_dft,delBE_alc
3.6_Tl-0.7_Re,3,3:6,0:7,0.45589296,1.7232
6_Tl-7_Re,3,6,7,-0.04618806,0.1878
3_Ir-4_Au,1,3,4,0.00011194999999,0.00750000000001
0_Au-7_Ir,1,0,7,-0.01554672,0.0406
2_Tl-0_Re,3,2,0,0.41534311,1.5861
0.2.7_Tl-0.6.7_Re,3,0:2:7,0:6:7,0.55203065,1.8852
7_Au-3_Ir,1,7,3,0.0643948,0.1224
0.6_Hg-0.6_Os,2,0:6,0:6,0.56911568,1.1914
2.6_Hg-2.3_Os,2,2:6,2:3,0.09578746,0.2922
0.6_Os-0.7_Hg,2,0:6,0:7,-1.21139599,-1.2032
2_Os-3_Hg,2,2,3,-0.22265198,-0.1754
2.6_Tl-2.3_Re,3,2:6,2:3,0.07764187,0.4383
0_Os-2_Hg,2,0,2,-0.02440583,-0.0728
2_Hg-4_Os,2,2,4,-0.0409148,0.0188
0_Hg-7_Os,2,0,7,-0.0718915,0.0812
0.6_Hg-3.6_Os,2,0:6,3:6,0.09757266,0.3094
6_Ir-3_Au,1,6,3,-0.11446083,-0.12
2.6.7_Tl-2.3.6_Re,3,2:6:7,2:3:6,0.19894486,0.6156
2_Hg-2_Os,2,2,2,0.01397197,0.0522
0.6.7_Re-3.4.7_Tl,3,0:6:7,3:4:7,-0.76154833,-0.6141
7_Au-2_Ir,1,7,2,0.05723959,0.0608
0_Re-4_Tl,3,0,4,-0.08765111,-0.0591
6_Au-6_Ir,1,6,6,0.04422919,0.0567
3.6_Au-3.7_Ir,1,3:6,3:7,0.03581513,0.1334
6.7_Tl-0.3_Re,3,6:7,0:3,0.53754185,2.0502
3_Os-7_Hg,2,3,7,-0.14216053,-0.0268
6_Os-4_Hg,2,6,4,-0.04282796,-0.0834
3.6_Tl-3.7_Re,3,3:6,3:7,-0.14265562,0.4002
6.7_Au-0.3_Ir,1,6:7,0:3,0.39575862,0.6834
2_Re-6_Tl,3,2,6,-0.14098675,-0.0732
3.6.7_Hg-0.2.6_Os,2,3:6:7,0:2:6,0.60248809,1.2586
3_Au-6_Ir,1,3,6,-0.0143063,0.00749999999999
2.3.6_Tl-0.6.7_Re,3,2:3:6,0:6:7,0.50921618,1.7964
0.2_Re-2.4_Tl,3,0:2,2:4,-0.20301129,-0.1374
2.6_Au-2.3_Ir,1,2:6,2:3,0.07890842,0.1461
3.6_Hg-3.7_Os,2,3:6,3:7,-0.01760087,0.2668
0.2_Ir-0.6_Au,1,0:2,0:6,-0.6134429,-0.5634
2.3.6_Au-0.6.7_Ir,1,2:3:6,0:6:7,0.35326588,0.5988
2.3.6_Hg-0.6.7_Os,2,2:3:6,0:6:7,0.48850435,1.1976
0.6_Re-0.7_Tl,3,0:6,0:7,-1.65017179,-1.8048
6_Re-4_Tl,3,6,4,-0.04535718,-0.1251
0.6_Ir-0.7_Au,1,0:6,0:7,-0.68301378,-0.6016
0.2.7_Au-2.3.7_Ir,1,0:2:7,2:3:7,0.06007199,0.1891
0.2.3.7_Ir-3.4.6.7_Au,1,0:2:3:7,3:4:6:7,-0.10766885,-0.1799
2_Os-6_Hg,2,2,6,-0.07329571,-0.0488
6_Tl-2_Re,3,6,2,0.1293159,0.1752
3_Hg-3_Os,2,3,3,-0.01220486,0.1416
0.2_Os-4.7_Hg,2,0:2,4:7,-0.23487967,-0.0999999999999
0_Os-6_Hg,2,0,6,-0.05104573,-0.0694
2_Au-0_Ir,1,2,0,0.30017957,0.5287
6_Hg-2_Os,2,6,2,0.10192392,0.1168
