molid,deltaz,inert,active,delBE_dft,delBE_alc
0.1.4_Hg-0.7.8_Os,2,0:1:4,0:7:8,0.06070191,0.6998
1.4_Re-0.7_Tl,3,1:4,0:7,-1.7509127,-0.933
0_Ir-1_Au,1,0,1,-0.04136447,-0.0446
0_Ir-3_Au,1,0,3,-0.03803801,-0.0429
4_Hg-5_Os,2,4,5,-0.01519707,0.0144
4_Au-5_Ir,1,4,5,-0.00131517,0.0072
0_Au-5_Ir,1,0,5,0.03458067,0.0471
4_Au-3_Ir,1,4,3,-0.00303466000003,0.00299999999999
0.4_Re-1.5_Tl,3,0:4,1:5,-0.19268488,-0.1554
4_Tl-5_Re,3,4,5,-0.03555705,0.0216
0.4_Au-5.8_Ir,1,0:4,5:8,0.03488696,0.0461
0.4_Os-1.3_Hg,2,0:4,1:3,-0.09778051,-0.0951999999999
1.4_Hg-1.3_Os,2,1:4,1:3,0.01745329,0.0595999999999
1_Hg-0_Os,2,1,0,0.0194648,0.6186
0.1.4_Au-0.7.8_Ir,1,0:1:4,0:7:8,0.09654278,0.3499
1.4_Au-3.8_Ir,1,1:4,3:8,0.01450052,0.0241
0.1_Tl-5.8_Re,3,0:1,5:8,0.04320611,0.2046
1.4_Os-0.5_Hg,2,1:4,0:5,-1.34879494,-0.633
1_Re-3_Tl,3,1,3,-0.07299359,-0.0752999999999
4_Os-0_Hg,2,4,0,-1.32937717,-0.5744
0.1_Hg-3.7_Os,2,0:1,3:7,0.05936427,0.1334
1.4_Os-3.5_Hg,2,1:4,3:5,-0.10944061,-0.0646
0.1_Re-0.5_Tl,3,0:1,0:5,-1.83737427,-1.0692
0_Tl-3_Re,3,0,3,0.04067174,0.1287
0.4_Os-1.5_Hg,2,0:4,1:5,-0.11401525,-0.1036
0_Au-1_Ir,1,0,1,0.0329272,0.0446
0.1.4_Os-3.5.8_Hg,2,0:1:4,3:5:8,-0.20237131,-0.1424
0.4_Au-0.8_Ir,1,0:4,0:8,0.0688881,0.3261
0_Au-3_Ir,1,0,3,0.03297036,0.0429
1_Tl-7_Re,3,1,7,0.00719735999999,0.0713999999999
1.4_Os-1.5_Hg,2,1:4,1:5,-0.08059988,-0.068
0_Os-5_Hg,2,0,5,-0.08579092,-0.0942
0.1.4_Tl-3.5.7_Re,3,0:1:4,3:5:7,0.0429217,0.2217
4_Ir-0_Au,1,4,0,-0.56857319,-0.2872
0.4_Au-1.8_Ir,1,0:4,1:8,0.03318987,0.0436
0.1.4_Os-0.5.7_Hg,2,0:1:4,0:5:7,-1.38638248,-0.7162
4_Ir-7_Au,1,4,7,-0.00604748000001,-0.00169999999999
0_Os-3_Hg,2,0,3,-0.07143609,-0.0858
4_Re-1_Tl,3,4,1,-0.05069959,-0.0141
0.4_Tl-5.7_Re,3,0:4,5:7,0.02272193,0.1464
0.1_Os-1.5_Hg,2,0:1,1:5,-0.13326495,-0.1478
0.1_Os-0.3_Hg,2,0:1,0:3,-1.37714373,-0.7044
0.1.4_Re-5.7.8_Tl,3,0:1:4,5:7:8,-0.26555216,-0.2097
0.1_Tl-1.8_Re,3,0:1,1:8,0.03081452,0.1971
1.4_Hg-0.1_Os,2,1:4,0:1,0.00471836,0.628
0_Au-7_Ir,1,0,7,0.03219028,0.0416
0_Tl-1_Re,3,0,1,0.03480065,0.1338
1_Ir-7_Au,1,1,7,-0.02460954,-0.0238
0.4_Tl-5.8_Re,3,0:4,5:8,0.00268980999999,0.1383
0.1.4_Au-0.1.7_Ir,1,0:1:4,0:1:7,0.1213287,0.3556
0_Hg-5_Os,2,0,5,0.0438767,0.0942
0.1.4_Re-0.5.7_Tl,3,0:1:4,0:5:7,-1.79487622,-1.0743
1_Os-3_Hg,2,1,3,-0.05210994,-0.0502
0.1_Au-1.8_Ir,1,0:1,1:8,0.04964753,0.0657
